Size,Linear Search,Binary Search
1, 7723, 23658
2, 50442, 31089
3, 10555, 27770
4, 10102, 10708
5, 11492, 13104
6, 11627, 12093
7, 14494, 29706
8, 14013, 35500
9, 16601, 14258
10, 17489, 14764
11, 39019, 23065
12, 21319, 32808
13, 20260, 15920
14, 21036, 16116
15, 23088, 15922
16, 23958, 16239
17, 24922, 16391
18, 24262, 16892
19, 26532, 17264
20, 27749, 17550
21, 26725, 17715
22, 28537, 17612
23, 30109, 18993
24, 28977, 19092
25, 32541, 19128
26, 33050, 19318
27, 34929, 19388
28, 34741, 19368
29, 62476, 37501
30, 76173, 19774
31, 76501, 19458
32, 57676, 19369
33, 81564, 22969
34, 40215, 21869
35, 43641, 21583
36, 45499, 21814
37, 47393, 21848
38, 63462, 20738
39, 46822, 28099
40, 46676, 21407
41, 47786, 21331
42, 45309, 21704
43, 52116, 21710
44, 48963, 22178
45, 51158, 22021
46, 52371, 21839
47, 56605, 22877
48, 56323, 23097
49, 53333, 22998
50, 55454, 23039
51, 62956, 52384
52, 56243, 22547
53, 56369, 22762
54, 61337, 22640
55, 58678, 22670
56, 60413, 22614
57, 59291, 22907
58, 60959, 22853
59, 61551, 22622
60, 65165, 22790
61, 59304, 26430
62, 76804, 20732
63, 99550, 36830
64, 121049, 53776
65, 105400, 20789
66, 106160, 21039
67, 83841, 20918
68, 110596, 55228
69, 103180, 21224
70, 103701, 21334
71, 85884, 21056
72, 88750, 21062
73, 90977, 21189
74, 80877, 23636
75, 104673, 41078
76, 81891, 23608
77, 80527, 23990
78, 84134, 23513
79, 87324, 23500
80, 88820, 23529
81, 86843, 23615
82, 87243, 23850
83, 88514, 23862
84, 107466, 21374
85, 118188, 21362
86, 119111, 21333
87, 100994, 24295
88, 86039, 24392
89, 87456, 24764
90, 96647, 27088
91, 104421, 22074
92, 100040, 22055
93, 101773, 22270
94, 100487, 22565
95, 109258, 23239
96, 111263, 23229
97, 99028, 25455
98, 106448, 25581
99, 134413, 22698
100, 142599, 22668
101, 125547, 23222
102, 112814, 23041
103, 143054, 23146
104, 99942, 25478
105, 108560, 25545
106, 111994, 25146
107, 112272, 23241
108, 131741, 23318
109, 149107, 37673
110, 128119, 23404
111, 124864, 23272
112, 118471, 23466
113, 114281, 25577
114, 115083, 26033
115, 121382, 28202
116, 151420, 23387
117, 135482, 23340
118, 138404, 23502
119, 136577, 23215
120, 138661, 23302
121, 128562, 25905
122, 148760, 23344
123, 129930, 25663
124, 137928, 23263
125, 131781, 23383
126, 143808, 23469
127, 133083, 23690
128, 146098, 23520
129, 142303, 23600
130, 147988, 23362
131, 150554, 23519
132, 185305, 23423
133, 184750, 23608
134, 129884, 23712
135, 146932, 23570
136, 142415, 24038
137, 159082, 51776
138, 134749, 24148
139, 144964, 23803
140, 141262, 24041
141, 151862, 23759
142, 177604, 38672
143, 154445, 26645
144, 156054, 25622
145, 160391, 25975
146, 164405, 24973
147, 200867, 25831
148, 164659, 25607
149, 162996, 38619
150, 166317, 26517
151, 200349, 27489
152, 171016, 27107
153, 161289, 27059
154, 152774, 27454
155, 166358, 27132
156, 199977, 28709
157, 171610, 28416
158, 173213, 28898
159, 167405, 28489
160, 178856, 31054
161, 190938, 24445
162, 191008, 24191
163, 183505, 24310
164, 182375, 24184
165, 214172, 24122
166, 175466, 24631
167, 175411, 24644
168, 174624, 24381
169, 208486, 51461
170, 171265, 24642
171, 186537, 24641
172, 182503, 24705
173, 171662, 24980
174, 207955, 24471
175, 196589, 24661
176, 182384, 24969
177, 166866, 24617
178, 202388, 24721
179, 186523, 24951
180, 188476, 24482
181, 198631, 24418
182, 208112, 56084
183, 195187, 24749
184, 182070, 24818
185, 182938, 25231
186, 192158, 24657
187, 210688, 25440
188, 184631, 25161
189, 215039, 43234
190, 420135, 39416
191, 363294, 41736
192, 399122, 32072
193, 205007, 30954
194, 195296, 29276
195, 207436, 28674
196, 215406, 30560
197, 206187, 30439
198, 217408, 30569
199, 211065, 37321
200, 219107, 29432
201, 209868, 29367
202, 202122, 36033
203, 337139, 31847
204, 237334, 31412
205, 205612, 31488
206, 237237, 53002
207, 209238, 29441
208, 216016, 30008
209, 229122, 29860
210, 262220, 25803
211, 257438, 25834
212, 235070, 25807
213, 238308, 25517
214, 263890, 25666
215, 232919, 26148
216, 210405, 25729
217, 247008, 25860
218, 218783, 26029
219, 231356, 25909
220, 236516, 25761
221, 257982, 26146
222, 233392, 25847
223, 202360, 25882
224, 245858, 25764
225, 261354, 26205
226, 224131, 25841
227, 228259, 25805
228, 196227, 88698
229, 243978, 25884
230, 220315, 26224
231, 220825, 26009
232, 251943, 26137
233, 220622, 25770
234, 225376, 25779
235, 237818, 25957
236, 280553, 25957
237, 237250, 25855
238, 221821, 26086
239, 287840, 25936
240, 237950, 25746
241, 234332, 26304
242, 244134, 25963
243, 290895, 25943
244, 236408, 25964
245, 258452, 26247
246, 265074, 25804
247, 359160, 29043
248, 269800, 26794
249, 304378, 29257
250, 252172, 29071
251, 269217, 28666
252, 264887, 32350
253, 262054, 31778
254, 270519, 32025
255, 283374, 30186
256, 274210, 30936
257, 378423, 30578
258, 266158, 30037
259, 285008, 30399
260, 248679, 30013
261, 223097, 30354
262, 250576, 30092
263, 272099, 30385
264, 278317, 31096
265, 259634, 31194
266, 255458, 31514
267, 298326, 26220
268, 274947, 26127
269, 274764, 26483
270, 331351, 26279
271, 259052, 26298
272, 275804, 26285
273, 327112, 26171
274, 265703, 26646
275, 269115, 26435
276, 304536, 61695
277, 244327, 26622
278, 271801, 26556
279, 274985, 49862
280, 283179, 26434
281, 287989, 26169
282, 278081, 26189
283, 286515, 26382
284, 278471, 26358
285, 274027, 26403
286, 294112, 26380
287, 267486, 26852
288, 290810, 26594
289, 315001, 26760
290, 289015, 26181
291, 281794, 26467
292, 320021, 26415
293, 284919, 26392
294, 283155, 26727
295, 354960, 26543
296, 414002, 26777
297, 366302, 29779
298, 288169, 30662
299, 336510, 74178
300, 331310, 33176
301, 290624, 34241
302, 327465, 29619
303, 289005, 30454
304, 281701, 30152
305, 383422, 30936
306, 288635, 31307
307, 311947, 40012
308, 362087, 32314
309, 320045, 32680
310, 344278, 29976
311, 280885, 30397
312, 324773, 29854
313, 318150, 26624
314, 303355, 26980
315, 291519, 27061
316, 328939, 26870
317, 314660, 26874
318, 305439, 26869
319, 309038, 27362
320, 311986, 26608
321, 292199, 26899
322, 298175, 26698
323, 315590, 26853
324, 304172, 26874
325, 321587, 26798
326, 288914, 27123
327, 378688, 26614
328, 319113, 26593
329, 314707, 27116
330, 317874, 27150
331, 336482, 26973
332, 310575, 27186
333, 334072, 27201
334, 313079, 27205
335, 395496, 27178
336, 308384, 26990
337, 347472, 26857
338, 319286, 27234
339, 296916, 27209
340, 337161, 26990
341, 433328, 44672
342, 299614, 29797
343, 389734, 32654
344, 384294, 32234
345, 387731, 31924
346, 345809, 32008
347, 419435, 32211
348, 346814, 32116
349, 392211, 48650
350, 370642, 36813
351, 434184, 68226
352, 325122, 32667
353, 373144, 32129
354, 385529, 29704
355, 393231, 28779
356, 420445, 49170
357, 362287, 27199
358, 337706, 27060
359, 355079, 27036
360, 301491, 27587
361, 362529, 55761
362, 345862, 27523
363, 361820, 27318
364, 399397, 27339
365, 335114, 27388
366, 392693, 27319
367, 354511, 27502
368, 312215, 27369
369, 370994, 27229
370, 324379, 27830
371, 428108, 27488
372, 332253, 27591
373, 331166, 27473
374, 399215, 27416
375, 326922, 27902
376, 415109, 27437
377, 328329, 27721
378, 349047, 27270
379, 391644, 27820
380, 353046, 27652
381, 478231, 28596
382, 350887, 29801
383, 429443, 35459
384, 442829, 33562
385, 428524, 32570
386, 408350, 33008
387, 476092, 32991
388, 368990, 32853
389, 410035, 49644
390, 413507, 32399
391, 456681, 31840
392, 385203, 32343
393, 380891, 31959
394, 409895, 28779
395, 363568, 28900
396, 408911, 28532
397, 412891, 28446
398, 419047, 28560
399, 370642, 28489
400, 358072, 28628
401, 384433, 28548
402, 352996, 28559
403, 385985, 28537
404, 343397, 28399
405, 364227, 30855
406, 391232, 28205
407, 353832, 28650
408, 404593, 28238
409, 385266, 28521
410, 408900, 28526
411, 366100, 28739
412, 381196, 28520
413, 379417, 28570
414, 403809, 28394
415, 413497, 28318
416, 421940, 28586
417, 425497, 28367
418, 389220, 75417
419, 454111, 34903
420, 455973, 35423
421, 499170, 35688
422, 446991, 34551
423, 435119, 34627
424, 438731, 32299
425, 463424, 33282
426, 459798, 33122
427, 491805, 33204
428, 415606, 32852
429, 408334, 32979
430, 438174, 32688
431, 436989, 28462
432, 391646, 28485
433, 474038, 28466
434, 421542, 28485
435, 490604, 28532
436, 409479, 28326
437, 424530, 28235
438, 417439, 28526
439, 394154, 28677
440, 372497, 28993
441, 393849, 31570
442, 397650, 28680
443, 447632, 28412
444, 406146, 28760
445, 397481, 28561
446, 430277, 28453
447, 417576, 28540
448, 448853, 28423
449, 438155, 28550
450, 460099, 28735
451, 439946, 28605
452, 477935, 28395
453, 456903, 30790
454, 539974, 37374
455, 513027, 34889
456, 486427, 34239
457, 505341, 33332
458, 466140, 31448
459, 514195, 33774
460, 499369, 53695
461, 489006, 33087
462, 440930, 33149
463, 434880, 31096
464, 427408, 31306
465, 404368, 28647
466, 422776, 28579
467, 477518, 28493
468, 434579, 28489
469, 435454, 28564
470, 420195, 28510
471, 401614, 28616
472, 423800, 28527
473, 437784, 28666
474, 434466, 28751
475, 484918, 28441
476, 404919, 28839
477, 398601, 56808
478, 464232, 28624
479, 449559, 28577
480, 437874, 28302
481, 454331, 30646
482, 429095, 28602
483, 446346, 28538
484, 506893, 33007
485, 465168, 75373
486, 516098, 31849
487, 661203, 40703
488, 631441, 32439
489, 489471, 32733
490, 626464, 31702
491, 455998, 32454
492, 545987, 36171
493, 490636, 33319
494, 499280, 32591
495, 491377, 28669
496, 496641, 28305
497, 533900, 28724
